step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
89000,0.06109419484520639,0.003497198224067688,-5.25,-5.29870449880287,-1.0827696323394775,-1.089085340499878,-1.145171046257019,-1.1064716577529907,-1.0604333877563477,-0.7158711552619934,-1.7037849426269531
90000,0.06055312457790446,0.0039824917912483215,-5.25,-5.287430270784224,-1.082859992980957,-1.0691750049591064,-1.0677226781845093,-1.0762492418289185,-1.0627752542495728,-0.7963680028915405,-1.3605740070343018
91000,0.0600384426189244,0.002513097133487463,-5.25,-5.251817459831834,-1.0799813270568848,-1.0777266025543213,-1.0894050598144531,-1.173414707183838,-1.056817650794983,-0.71915602684021,-1.3503637313842773
92000,0.059548861995282906,0.0019635732751339674,-5.25,-5.286005687133265,-1.0760929584503174,-1.099563717842102,-1.065308690071106,-1.067354440689087,-1.064650535583496,-0.6844803094863892,-1.7844213247299194
93000,0.059083158500409697,0.0019936177413910627,-6.25,-5.469391832585732,-1.3202072381973267,-1.1875827312469482,-1.1662137508392334,-0.9213179349899292,-0.9271259307861328,-0.7152842283248901,-1.0526765584945679
94000,0.05864016763299348,0.0010610306635499,-5.25,-5.251023184851203,-1.0500863790512085,-1.0497701168060303,-1.1343480348587036,-1.0517776012420654,-1.047742486000061,-0.6885018944740295,-1.5341615676879883
95000,0.05821878168512208,0.0025731874629855156,-5.25,-5.371270838546738,-1.1625105142593384,-1.1663310527801514,-1.0624191761016846,-1.0685629844665527,-1.0662295818328857,-0.7034004330635071,-1.2571200132369995
96000,0.05781794697243569,0.0032462559174746275,-5.25,-5.4027444827043105,-1.2557116746902466,-1.137256383895874,-1.3217718601226807,-1.3051435947418213,-1.1079356670379639,-0.46016454696655273,-0.5126492381095886
97000,0.057436661199367106,0.002728282008320093,-5.25,-5.28791398937521,-1.0399099588394165,-1.0462572574615479,-1.0606610774993896,-1.0546495914459229,-1.045532464981079,-0.6611739993095398,-1.5767085552215576
98000,0.05707397095288076,0.0027054399251937866,-5.25,-5.313498386979523,-1.3499584197998047,-1.2870054244995117,-1.1074165105819702,-1.099434733390808,-1.0673056840896606,-0.6758860349655151,-0.8433017730712891
99000,0.056728969318443526,0.0037934109568595886,-5.25,-5.280936524581527,-1.0568530559539795,-1.0666313171386719,-1.0658079385757446,-1.053721308708191,-1.047995686531067,-0.7125931978225708,-1.3498843908309937
100000,0.056400793612266,0.002862293738871813,-5.25,-5.38598154398227,-1.3653990030288696,-1.1073119640350342,-1.3519865274429321,-1.075148582458496,-1.1330937147140503,-0.6526569128036499,-0.7105565071105957
101000,0.05608862322414364,0.0015086719067767262,-5.25,-5.278034215516556,-1.0497758388519287,-1.0488762855529785,-1.0506805181503296,-1.0456187725067139,-1.0485632419586182,-0.7017251253128052,-1.3367855548858643
102000,0.055791677565503836,0.002330011921003461,-5.25,-5.285888466267689,-1.0749952793121338,-1.0639489889144897,-1.0522657632827759,-1.0495045185089111,-1.0492254495620728,-0.6833535432815552,-1.5293774604797363
103000,0.05550921411752791,0.0017427275888621807,-5.25,-5.255216578306123,-1.061068058013916,-1.0594173669815063,-1.0591838359832764,-1.0593453645706177,-1.051470160484314,-0.6871329545974731,-1.4148582220077515
104000,0.05524052657446728,0.0007134172483347356,-5.25,-5.27405080170715,-1.0724586248397827,-1.115477204322815,-1.0481603145599365,-1.0613247156143188,-1.0489288568496704,-0.7357310056686401,-1.157766580581665
105000,0.05498494307751121,0.0012651394354179502,-5.25,-5.26738319998719,-1.061039686203003,-1.0628657341003418,-1.0709043741226196,-1.0723516941070557,-1.0451228618621826,-0.7181738018989563,-1.300028681755066
106000,0.054741824534789804,0.0016849557869136333,-5.75,-5.336067412182719,-1.230844497680664,-1.1584917306900024,-1.403691291809082,-1.1121299266815186,-1.1444581747055054,-0.6462017893791199,-1.0126943588256836
107000,0.054510563023311476,0.002674906747415662,-6.25,-5.650389957236045,-1.1946128606796265,-1.2753697633743286,-1.1414155960083008,-1.2017902135849,-1.1694101095199585,-0.7099897265434265,-1.081616997718811
108000,0.054290580268838776,0.000935920572374016,-6.25,-5.330334858737903,-1.2380927801132202,-1.188920021057129,-1.198087453842163,-1.3018434047698975,-1.3253045082092285,-0.6548515558242798,-0.9721153974533081
109000,0.05408132619990162,0.001990717137232423,-6.25,-5.811255272538096,-1.2274798154830933,-1.193834662437439,-1.1888772249221802,-1.299349308013916,-1.1391687393188477,-0.5084860920906067,-0.6728211641311646
110000,0.05388227757233211,0.0035976849030703306,-5.25,-5.438787638847468,-1.0598574876785278,-1.0600903034210205,-1.0770047903060913,-1.059607744216919,-1.0555799007415771,-0.7571899890899658,-1.2036564350128174
111000,0.0536929366608815,0.003515122691169381,-6.75,-5.653605411780315,-1.0700244903564453,-1.1104300022125244,-1.350130558013916,-1.225986123085022,-1.117524266242981,-0.4376542568206787,-0.9125343561172485
112000,0.0535128300146479,0.001247491454705596,-5.25,-5.300076610841326,-1.0676825046539307,-1.0598628520965576,-1.1032055616378784,-1.08711838722229,-1.051645040512085,-0.6739579439163208,-1.2622069120407104
113000,0.05334150727320236,0.0031515166629105806,-5.25,-5.290348757581505,-1.054376482963562,-1.0815889835357666,-1.1136326789855957,-1.0871633291244507,-1.043886423110962,-0.7035438418388367,-1.2725534439086914
114000,0.05317854004045323,0.003526246640831232,-5.25,-5.250768615956643,-1.057244062423706,-1.0805108547210693,-1.0580089092254639,-1.0608773231506348,-1.0490556955337524,-0.6507495641708374,-1.7169854640960693
115000,0.0530235208134328,0.0014268318191170692,-5.25,-5.303389197532242,-1.05994713306427,-1.0530226230621338,-1.0629034042358398,-1.0561058521270752,-1.0480868816375732,-0.717840850353241,-1.4125590324401855
116000,0.052876061963327614,0.0013924379600211978,-5.25,-5.250390446872497,-1.0755376815795898,-1.0667917728424072,-1.0554029941558838,-1.058650255203247,-1.0492055416107178,-0.6856163144111633,-1.4131282567977905
117000,0.05273579476620452,0.000987242441624403,-5.25,-5.269491285300826,-1.0616356134414673,-1.080651044845581,-1.0678757429122925,-1.082550287246704,-1.054033875465393,-0.6829942464828491,-1.4592711925506592
118000,0.05260236848100879,0.0016542964149266481,-5.25,-5.287388674143688,-1.062824010848999,-1.0702637434005737,-1.0563889741897583,-1.0685627460479736,-1.0512101650238037,-0.7133914232254028,-1.3487097024917603
119000,0.05247544947252879,0.0014265336794778705,-5.25,-5.273721882413088,-1.0805160999298096,-1.088674783706665,-1.2144677639007568,-1.1432090997695923,-1.0441534519195557,-0.6433790326118469,-1.1163603067398071
120000,0.05235472037713416,0.0009795613586902618,-5.25,-5.296040723741742,-1.1391156911849976,-1.1490434408187866,-1.120004653930664,-1.1145789623260498,-1.0514357089996338,-0.6120875477790833,-1.1683931350708008
121000,0.05223987930920143,0.0009152061538770795,-5.25,-5.264901559381906,-1.160614013671875,-1.127861738204956,-1.0772771835327148,-1.063503623008728,-1.0612999200820923,-0.7160610556602478,-1.1301599740982056
122000,0.05213063910624273,0.0005520452978089452,-5.25,-5.2710971459840525,-1.1314195394515991,-1.0616202354431152,-1.0626904964447021,-1.0783705711364746,-1.052027702331543,-0.7164000868797302,-1.179810643196106
123000,0.05202672661084999,0.003030810272321105,-5.25,-5.334514352588562,-1.1053839921951294,-1.0846340656280518,-1.1224583387374878,-1.1377615928649902,-1.052912950515747,-0.6254680156707764,-1.4453608989715576
124000,0.051927881987659116,0.0029150890186429024,-5.25,-5.252104391121629,-1.0534112453460693,-1.0771210193634033,-1.1974653005599976,-1.1562188863754272,-1.0575401782989502,-0.6661711931228638,-1.204522967338562
125000,0.051833858073626275,0.001374648418277502,-5.25,-5.28567631295455,-1.2371852397918701,-1.1575263738632202,-1.0915614366531372,-1.0587117671966553,-1.0659219026565552,-0.6964982748031616,-1.142369031906128
126000,0.05174441975999151,0.0013049396220594645,-5.75,-5.279609354129338,-1.1085269451141357,-1.1339350938796997,-1.0654200315475464,-1.1424992084503174,-1.1114439964294434,-0.6822401285171509,-1.3249611854553223
127000,0.0516593434043844,2.6822759537026286e-05,-6.25,-5.308699398409791,-1.3065602779388428,-1.15836763381958,-1.085965633392334,-1.0609811544418335,-1.0834858417510986,-0.6275737881660461,-1.1243921518325806
128000,0.051578416271601625,0.002073627896606922,-5.25,-5.4725729519512205,-1.0698281526565552,-1.0671818256378174,-1.1982656717300415,-1.2256063222885132,-1.055936336517334,-0.5931097269058228,-1.0965218544006348
129000,0.05150143600165818,0.0015485425246879458,-5.25,-5.358508948040118,-1.0528500080108643,-1.0542553663253784,-1.0586090087890625,-1.0496639013290405,-1.0528885126113892,-0.6787627339363098,-1.3307195901870728
