step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
89000,0.06109419484520639,0.004522248636931181,-5.25,-5.250740660029387,-1.054186224937439,-1.0574151277542114,-1.055864930152893,-1.0620986223220825,-1.0536361932754517,-0.8004947900772095,-0.9157462120056152
90000,0.06055312457790446,0.004062030464410782,-5.25,-5.344889248798899,-1.206676721572876,-1.2706228494644165,-1.1806198358535767,-1.1078674793243408,-1.1144994497299194,-0.6953774690628052,-0.7890901565551758
91000,0.0600384426189244,0.0018768657464534044,-5.25,-5.26840961632651,-1.0364277362823486,-1.0359952449798584,-1.0452619791030884,-1.0411484241485596,-1.0346500873565674,-0.7802742719650269,-0.8955257534980774
92000,0.059548861995282906,0.002690220484510064,-5.75,-5.683807406875636,-1.1685148477554321,-1.3814477920532227,-1.4364038705825806,-1.3557384014129639,-1.2634682655334473,-0.775590717792511,-0.812741756439209
93000,0.059083158500409697,0.00620364211499691,-5.25,-5.502851380481019,-1.4020442962646484,-1.1987333297729492,-1.2814266681671143,-1.3353798389434814,-1.2636373043060303,-0.7741509079933167,-0.8269919157028198
94000,0.05864016763299348,0.006217249669134617,-5.25,-5.416550861942218,-1.184656023979187,-1.091166377067566,-1.1330422163009644,-1.1820427179336548,-1.0609732866287231,-0.7597395777702332,-0.8546587824821472
95000,0.05821878168512208,0.003857498988509178,-5.25,-5.283703110200342,-1.0703798532485962,-1.061279535293579,-1.0403763055801392,-1.0369712114334106,-1.0341899394989014,-0.7847235798835754,-0.8999749422073364
96000,0.05781794697243569,0.004447744227945805,-6.25,-5.466433152479785,-1.1260592937469482,-1.176563024520874,-1.1048511266708374,-1.1612035036087036,-1.1254656314849854,-0.827975869178772,-0.9302973747253418
97000,0.057436661199367106,0.0013071452267467976,-5.25,-5.302129232999095,-1.0788586139678955,-1.0562613010406494,-1.047003984451294,-1.047100305557251,-1.0452936887741089,-0.7874521017074585,-0.902703583240509
98000,0.05707397095288076,0.001166939502581954,-5.25,-5.2746198638342285,-1.087673306465149,-1.0708729028701782,-1.0511120557785034,-1.052277684211731,-1.0547168254852295,-0.7898290157318115,-0.9044532775878906
99000,0.056728969318443526,0.0021351920440793037,-5.25,-5.289429455510763,-1.1074421405792236,-1.1723779439926147,-1.1760179996490479,-1.1930124759674072,-1.1122783422470093,-0.7168030738830566,-0.7922279238700867
100000,0.056400793612266,0.003477497259154916,-5.25,-5.285342999544064,-1.2533003091812134,-1.244778037071228,-1.1275529861450195,-1.132746934890747,-1.052470326423645,-0.7813664674758911,-0.8408641815185547
101000,0.05608862322414364,0.0050171008333563805,-5.25,-5.498398517594738,-1.42373788356781,-1.402610182762146,-1.2972396612167358,-1.0207607746124268,-1.3596584796905518,-0.9103118181228638,-0.9656650424003601
102000,0.055791677565503836,0.0025374325923621655,-5.25,-5.250001482332646,-1.0749014616012573,-1.0554876327514648,-1.0469752550125122,-1.0442492961883545,-1.043644666671753,-0.7748456001281738,-0.8900966644287109
103000,0.05550921411752791,0.002308631781488657,-5.25,-5.458591977190893,-1.044373869895935,-1.3287585973739624,-1.3168890476226807,-1.0642582178115845,-1.05638587474823,-0.892412006855011,-0.9352437853813171
104000,0.05524052657446728,0.0028567109256982803,-5.25,-5.250162269640042,-1.0659538507461548,-1.0607713460922241,-1.064578890800476,-1.0570027828216553,-1.0554616451263428,-0.780436635017395,-0.8956877589225769
105000,0.05498494307751121,0.001478096004575491,-5.25,-5.31705861766774,-1.0666823387145996,-1.0720045566558838,-1.0708959102630615,-1.0731570720672607,-1.058108925819397,-0.7780569791793823,-0.8919209241867065
106000,0.054741824534789804,0.0006399528356269002,-5.25,-5.253497001819131,-1.0917094945907593,-1.0548827648162842,-1.061434030532837,-1.074345350265503,-1.0471199750900269,-0.7819430232048035,-0.8950397372245789
107000,0.054510563023311476,0.0014207166386768222,-5.25,-5.29015294753687,-1.059837818145752,-1.0615061521530151,-1.0486805438995361,-1.0665318965911865,-1.0462462902069092,-0.7723367810249329,-0.8875876665115356
108000,0.054290580268838776,7.459925109287724e-05,-5.25,-5.253057885951989,-1.0779110193252563,-1.1710033416748047,-1.061580777168274,-1.050821304321289,-1.045986294746399,-0.7095438241958618,-0.8144322633743286
109000,0.05408132619990162,0.001175104407593608,-5.25,-5.394667955118017,-1.076015830039978,-1.0765531063079834,-1.1800603866577148,-1.1423072814941406,-1.0583486557006836,-0.7002809047698975,-0.7986595034599304
110000,0.05388227757233211,0.001822912716306746,-5.25,-5.271851664281345,-1.0899434089660645,-1.0605733394622803,-1.057732105255127,-1.0505348443984985,-1.0486698150634766,-0.76921147108078,-0.8844623565673828
111000,0.0536929366608815,0.0009189175325445831,-5.25,-5.250030689620125,-1.0733598470687866,-1.0490955114364624,-1.0490113496780396,-1.0562398433685303,-1.0442126989364624,-0.7637489438056946,-0.8789997100830078
112000,0.0535128300146479,0.0006610872223973274,-5.25,-5.26418119964623,-1.1159309148788452,-1.1581416130065918,-1.0745025873184204,-1.103499174118042,-1.0552805662155151,-0.6822873950004578,-0.7887550592422485
113000,0.05334150727320236,0.0003137093153782189,-5.25,-5.255070006614017,-1.0685415267944336,-1.0633436441421509,-1.1933472156524658,-1.0828746557235718,-1.0586227178573608,-0.7318414449691772,-0.8342482447624207
114000,0.05317854004045323,0.0016841688193380833,-5.25,-5.6020042743807235,-1.0344990491867065,-1.2673975229263306,-1.1331558227539062,-1.1867016553878784,-1.154488444328308,-0.6082676649093628,-0.6984004974365234
115000,0.0530235208134328,0.0007718495326116681,-5.25,-5.257838294387826,-1.067791223526001,-1.0772467851638794,-1.051966905593872,-1.0711452960968018,-1.0510313510894775,-0.7729371786117554,-0.8881881833076477
116000,0.052876061963327614,0.0009463006281293929,-5.25,-5.283366452861975,-1.052917242050171,-1.065190315246582,-1.1066241264343262,-1.1826145648956299,-1.039024829864502,-0.6944495439529419,-0.7954468727111816
117000,0.05273579476620452,0.00035590524203144014,-5.25,-5.250000063328679,-1.0532246828079224,-1.0576636791229248,-1.0566284656524658,-1.0533701181411743,-1.0499473810195923,-0.7688073515892029,-0.8840584754943848
118000,0.05260236848100879,2.756411413429305e-05,-5.25,-5.250005195110897,-1.071335792541504,-1.1081936359405518,-1.0618937015533447,-1.06160569190979,-1.055001139640808,-0.7378234267234802,-0.8479840159416199
119000,0.05247544947252879,0.00023978110402822495,-5.75,-5.325453341468691,-1.1227895021438599,-1.1358920335769653,-1.060661792755127,-1.0706560611724854,-1.051971673965454,-0.6970996856689453,-0.805050253868103
120000,0.05235472037713416,0.000413913483498618,-5.25,-5.507004122636034,-1.0854743719100952,-1.1352784633636475,-1.0549087524414062,-1.064824104309082,-1.052392601966858,-0.7160071134567261,-0.8234370350837708
121000,0.05223987930920143,0.002641022438183427,-5.25,-5.581502085610729,-1.21409010887146,-1.257568597793579,-1.1662451028823853,-1.0722147226333618,-1.1000609397888184,-0.6250175833702087,-0.7236199378967285
122000,0.05213063910624273,0.0038380580954253674,-5.25,-5.448518407691791,-1.1212337017059326,-1.1045641899108887,-1.0739997625350952,-1.0495352745056152,-1.0516538619995117,-0.7427262663841248,-0.857127845287323
123000,0.05202672661084999,0.0028187537100166082,-5.25,-5.309216218582562,-1.0558583736419678,-1.0855294466018677,-1.046736478805542,-1.0452063083648682,-1.041327714920044,-0.7555810809135437,-0.8708316683769226
124000,0.051927881987659116,0.0036694686859846115,-5.25,-5.37350702050022,-1.1224069595336914,-1.1063505411148071,-1.0643415451049805,-1.0666865110397339,-1.0625402927398682,-0.7812778949737549,-0.8965286016464233
125000,0.051833858073626275,0.004541291855275631,-5.25,-5.295898280999857,-1.5405991077423096,-1.2436134815216064,-1.102497935295105,-1.4026615619659424,-1.0709648132324219,-0.8622335195541382,-0.8317195773124695
126000,0.05174441975999151,0.0033729029819369316,-5.25,-5.327581997945637,-1.1848046779632568,-1.1045334339141846,-1.0901869535446167,-1.1323034763336182,-1.071123480796814,-0.7733648419380188,-0.8702060580253601
127000,0.0516593434043844,0.0032859272323548794,-5.25,-5.336413569191292,-1.1045364141464233,-1.0799148082733154,-1.1389838457107544,-1.167310118675232,-1.0580850839614868,-0.6701691746711731,-0.7696543335914612
128000,0.051578416271601625,0.00195022183470428,-5.25,-5.254516751684983,-1.058219313621521,-1.0553871393203735,-1.064207911491394,-1.0573734045028687,-1.0434609651565552,-0.7400563955307007,-0.8547738790512085
129000,0.05150143600165818,0.00025812641251832247,-5.25,-5.250080134140237,-1.0429472923278809,-1.0452147722244263,-1.041526436805725,-1.0474830865859985,-1.0410672426223755,-0.7423421740531921,-0.8575933575630188
